Realdel av fasskift,Tlab [Mev]
19.828,326.4
19.799,326.6
19.7701,326.8
19.7412,327
19.7123,327.2
19.6834,327.4
19.6546,327.6
19.6257,327.8
19.5969,328
19.5681,328.2
19.5393,328.4
19.5105,328.6
19.4817,328.8
19.4529,329
19.4242,329.2
19.3954,329.4
19.3667,329.6
19.338,329.8
19.3093,330
19.2806,330.2
19.252,330.4
19.2233,330.6
19.1947,330.8
19.1661,331
19.1375,331.2
19.1089,331.4
19.0803,331.6
19.0517,331.8
19.0232,332
18.9946,332.2
18.9661,332.4
18.9376,332.6
18.9091,332.8
18.8807,333
18.8522,333.2
18.8237,333.4
18.7953,333.6
18.7669,333.8
18.7385,334
18.7101,334.2
18.6818,334.4
18.6534,334.6
18.6251,334.8
18.5967,335
18.5684,335.2
18.5401,335.4
18.5119,335.6
18.4836,335.8
18.4553,336
18.4271,336.2
18.3989,336.4
18.3707,336.6
18.3425,336.8
18.3143,337
18.2862,337.2
18.258,337.4
18.2299,337.6
18.2018,337.8
18.1737,338
18.1456,338.2
18.1176,338.4
18.0895,338.6
18.0615,338.8
18.0335,339
18.0055,339.2
17.9775,339.4
17.9495,339.6
17.9216,339.8
17.8937,340
17.8657,340.2
17.8378,340.4
17.81,340.6
17.7821,340.8
17.7542,341
17.7264,341.2
17.6986,341.4
17.6708,341.6
17.643,341.8
17.6152,342
17.5874,342.2
17.5597,342.4
17.532,342.6
17.5043,342.8
17.4766,343
17.4489,343.2
17.4213,343.4
17.3936,343.6
17.366,343.8
17.3384,344
17.3108,344.2
17.2832,344.4
17.2557,344.6
17.2281,344.8
17.2006,345
17.1731,345.2
17.1456,345.4
17.1181,345.6
17.0907,345.8
17.0632,346
17.0358,346.2
17.0084,346.4
16.981,346.6
16.9536,346.8
16.9263,347
16.8989,347.2
16.8716,347.4
16.8443,347.6
16.817,347.8
16.7898,348
16.7625,348.2
16.7353,348.4
16.7081,348.6
16.6809,348.8
16.6537,349
16.6265,349.2
16.5994,349.4
16.5723,349.6
16.5451,349.8
16.518,350
