Realdel av fasskift,Tlab [Mev]
58.0695,74.6
58.0411,74.8
58.0128,75
57.9844,75.2
57.956,75.4
57.9277,75.6
57.8993,75.8
57.8709,76
57.8426,76.2
57.8142,76.4
57.7859,76.6
57.7576,76.8
57.7292,77
57.7009,77.2
57.6726,77.4
57.6442,77.6
57.6159,77.8
57.5876,78
57.5593,78.2
57.5309,78.4
57.5026,78.6
57.4743,78.8
57.446,79
57.4177,79.2
57.3894,79.4
57.3611,79.6
57.3328,79.8
57.3045,80
57.2762,80.2
57.2479,80.4
57.2196,80.6
57.1913,80.8
57.163,81
57.1347,81.2
57.1065,81.4
57.0782,81.6
57.0499,81.8
57.0216,82
56.9933,82.2
56.9651,82.4
56.9368,82.6
56.9085,82.8
56.8802,83
56.852,83.2
56.8237,83.4
56.7954,83.6
56.7671,83.8
56.7389,84
56.7106,84.2
56.6823,84.4
56.6541,84.6
56.6258,84.8
56.5975,85
56.5692,85.2
56.541,85.4
56.5127,85.6
56.4844,85.8
56.4562,86
56.4279,86.2
56.3996,86.4
56.3714,86.6
56.3431,86.8
56.3148,87
56.2866,87.2
56.2583,87.4
56.23,87.6
56.2017,87.8
56.1735,88
56.1452,88.2
56.1169,88.4
56.0887,88.6
56.0604,88.8
56.0321,89
56.0038,89.2
55.9755,89.4
55.9473,89.6
55.919,89.8
55.8907,90
55.8624,90.2
55.8341,90.4
55.8059,90.6
55.7776,90.8
55.7493,91
55.721,91.2
55.6927,91.4
55.6644,91.6
55.6361,91.8
55.6078,92
55.5795,92.2
55.5512,92.4
55.5229,92.6
55.4946,92.8
55.4663,93
55.438,93.2
55.4097,93.4
55.3814,93.6
55.3531,93.8
55.3247,94
55.2964,94.2
55.2681,94.4
55.2398,94.6
55.2115,94.8
55.1831,95
55.1548,95.2
55.1265,95.4
55.0981,95.6
55.0698,95.8
55.0415,96
55.0131,96.2
54.9848,96.4
54.9564,96.6
54.9281,96.8
54.8997,97
54.8714,97.2
54.843,97.4
54.8146,97.6
54.7863,97.8
54.7579,98
54.7295,98.2
54.7011,98.4
54.6728,98.6
54.6444,98.8
54.616,99
54.5876,99.2
54.5592,99.4
54.5308,99.6
54.5024,99.8
54.474,100
54.4456,100.2
54.4172,100.4
54.3888,100.6
54.3604,100.8
54.3319,101
54.3035,101.2
54.2751,101.4
54.2467,101.6
54.2182,101.8
54.1898,102
54.1613,102.2
54.1329,102.4
54.1044,102.6
54.076,102.8
54.0475,103
54.0191,103.2
53.9906,103.4
53.9621,103.6
53.9337,103.8
53.9052,104
53.8767,104.2
53.8482,104.4
53.8197,104.6
53.7912,104.8
53.7627,105
53.7342,105.2
53.7057,105.4
53.6772,105.6
53.6487,105.8
53.6201,106
53.5916,106.2
53.5631,106.4
53.5345,106.6
53.506,106.8
53.4774,107
53.4489,107.2
53.4203,107.4
53.3918,107.6
53.3632,107.8
53.3346,108
53.3061,108.2
53.2775,108.4
53.2489,108.6
53.2203,108.8
53.1917,109
53.1631,109.2
53.1345,109.4
53.1059,109.6
53.0773,109.8
53.0487,110
53.02,110.2
52.9914,110.4
52.9628,110.6
52.9341,110.8
52.9055,111
52.8768,111.2
52.8482,111.4
52.8195,111.6
52.7909,111.8
52.7622,112
52.7335,112.2
52.7048,112.4
52.6761,112.6
52.6474,112.8
52.6187,113
52.59,113.2
52.5613,113.4
52.5326,113.6
52.5039,113.8
52.4752,114
52.4464,114.2
52.4177,114.4
52.389,114.6
52.3602,114.8
52.3315,115
52.3027,115.2
52.2739,115.4
52.2452,115.6
52.2164,115.8
52.1876,116
52.1588,116.2
52.13,116.4
52.1012,116.6
52.0724,116.8
52.0436,117
52.0148,117.2
51.986,117.4
51.9571,117.6
51.9283,117.8
51.8994,118
51.8706,118.2
51.8417,118.4
51.8129,118.6
51.784,118.8
51.7552,119
51.7263,119.2
51.6974,119.4
51.6685,119.6
51.6396,119.8
51.6107,120
51.5818,120.2
51.5529,120.4
51.524,120.6
51.495,120.8
51.4661,121
51.4372,121.2
51.4082,121.4
51.3793,121.6
51.3503,121.8
51.3214,122
51.2924,122.2
51.2634,122.4
51.2344,122.6
51.2054,122.8
51.1764,123
51.1474,123.2
51.1184,123.4
51.0894,123.6
51.0604,123.8
51.0314,124
51.0023,124.2
50.9733,124.4
50.9443,124.6
50.9152,124.8
50.8861,125
50.8571,125.2
50.828,125.4
50.7989,125.6
50.7698,125.8
50.7407,126
50.7117,126.2
50.6825,126.4
50.6534,126.6
50.6243,126.8
50.5952,127
50.5661,127.2
50.5369,127.4
50.5078,127.6
50.4786,127.8
50.4495,128
50.4203,128.2
50.3911,128.4
50.362,128.6
50.3328,128.8
50.3036,129
50.2744,129.2
50.2452,129.4
50.216,129.6
50.1868,129.8
50.1575,130
50.1283,130.2
50.0991,130.4
50.0698,130.6
50.0406,130.8
50.0113,131
49.9821,131.2
49.9528,131.4
49.9235,131.6
49.8942,131.8
49.8649,132
49.8356,132.2
49.8063,132.4
49.777,132.6
49.7477,132.8
49.7184,133
49.689,133.2
49.6597,133.4
49.6303,133.6
49.601,133.8
49.5716,134
49.5423,134.2
49.5129,134.4
49.4835,134.6
49.4541,134.8
49.4247,135
49.3953,135.2
49.3659,135.4
49.3365,135.6
49.3071,135.8
49.2777,136
49.2482,136.2
49.2188,136.4
49.1893,136.6
49.1599,136.8
49.1304,137
49.1009,137.2
49.0715,137.4
49.042,137.6
49.0125,137.8
48.983,138
48.9535,138.2
48.924,138.4
48.8944,138.6
48.8649,138.8
48.8354,139
48.8058,139.2
48.7763,139.4
48.7467,139.6
48.7172,139.8
48.6876,140
48.658,140.2
48.6284,140.4
48.5989,140.6
48.5693,140.8
48.5396,141
48.51,141.2
48.4804,141.4
48.4508,141.6
48.4212,141.8
48.3915,142
48.3619,142.2
48.3322,142.4
48.3026,142.6
48.2729,142.8
48.2432,143
48.2135,143.2
48.1838,143.4
48.1542,143.6
48.1245,143.8
48.0947,144
48.065,144.2
48.0353,144.4
48.0056,144.6
47.9758,144.8
47.9461,145
47.9163,145.2
47.8866,145.4
47.8568,145.6
47.827,145.8
47.7973,146
47.7675,146.2
47.7377,146.4
47.7079,146.6
47.6781,146.8
47.6482,147
47.6184,147.2
47.5886,147.4
47.5588,147.6
47.5289,147.8
47.4991,148
47.4692,148.2
47.4393,148.4
47.4095,148.6
47.3796,148.8
47.3497,149
47.3198,149.2
47.2899,149.4
47.26,149.6
47.2301,149.8
47.2002,150
47.1702,150.2
47.1403,150.4
47.1103,150.6
47.0804,150.8
47.0504,151
47.0205,151.2
46.9905,151.4
46.9605,151.6
46.9305,151.8
46.9006,152
46.8706,152.2
46.8405,152.4
46.8105,152.6
46.7805,152.8
46.7505,153
46.7205,153.2
46.6904,153.4
46.6604,153.6
46.6303,153.8
46.6002,154
46.5702,154.2
46.5401,154.4
46.51,154.6
46.4799,154.8
46.4498,155
46.4197,155.2
46.3896,155.4
46.3595,155.6
46.3294,155.8
46.2992,156
46.2691,156.2
46.239,156.4
46.2088,156.6
46.1786,156.8
46.1485,157
46.1183,157.2
46.0881,157.4
46.0579,157.6
46.0277,157.8
45.9975,158
45.9673,158.2
45.9371,158.4
45.9069,158.6
45.8767,158.8
45.8464,159
45.8162,159.2
45.7859,159.4
45.7557,159.6
45.7254,159.8
45.6951,160
45.6649,160.2
45.6346,160.4
45.6043,160.6
45.574,160.8
45.5437,161
45.5134,161.2
45.4831,161.4
45.4527,161.6
45.4224,161.8
45.3921,162
45.3617,162.2
45.3314,162.4
45.301,162.6
45.2707,162.8
45.2403,163
45.2099,163.2
45.1795,163.4
45.1491,163.6
45.1187,163.8
45.0883,164
45.0579,164.2
45.0275,164.4
44.9971,164.6
44.9666,164.8
44.9362,165
44.9057,165.2
44.8753,165.4
44.8448,165.6
44.8144,165.8
44.7839,166
44.7534,166.2
44.7229,166.4
44.6924,166.6
44.6619,166.8
44.6314,167
44.6009,167.2
44.5704,167.4
44.5399,167.6
44.5094,167.8
44.4788,168
44.4483,168.2
44.4177,168.4
44.3872,168.6
44.3566,168.8
44.326,169
44.2955,169.2
44.2649,169.4
44.2343,169.6
44.2037,169.8
44.1731,170
44.1425,170.2
44.1119,170.4
44.0812,170.6
44.0506,170.8
44.02,171
43.9893,171.2
43.9587,171.4
43.928,171.6
43.8974,171.8
43.8667,172
43.836,172.2
43.8053,172.4
43.7747,172.6
43.744,172.8
43.7133,173
43.6826,173.2
43.6519,173.4
43.6211,173.6
43.5904,173.8
43.5597,174
43.529,174.2
43.4982,174.4
43.4675,174.6
43.4367,174.8
43.4059,175
43.3752,175.2
43.3444,175.4
43.3136,175.6
43.2828,175.8
43.252,176
43.2213,176.2
43.1904,176.4
43.1596,176.6
43.1288,176.8
43.098,177
43.0672,177.2
43.0363,177.4
43.0055,177.6
42.9747,177.8
42.9438,178
42.9129,178.2
42.8821,178.4
42.8512,178.6
42.8203,178.8
42.7895,179
42.7586,179.2
42.7277,179.4
42.6968,179.6
42.6659,179.8
42.635,180
42.604,180.2
42.5731,180.4
42.5422,180.6
42.5112,180.8
42.4803,181
42.4494,181.2
42.4184,181.4
42.3875,181.6
42.3565,181.8
42.3255,182
42.2945,182.2
42.2636,182.4
42.2326,182.6
42.2016,182.8
42.1706,183
42.1396,183.2
42.1086,183.4
42.0776,183.6
42.0465,183.8
42.0155,184
41.9845,184.2
41.9534,184.4
41.9224,184.6
41.8913,184.8
41.8603,185
41.8292,185.2
41.7982,185.4
41.7671,185.6
41.736,185.8
41.7049,186
41.6739,186.2
41.6428,186.4
41.6117,186.6
41.5806,186.8
41.5495,187
41.5183,187.2
41.4872,187.4
41.4561,187.6
41.425,187.8
41.3938,188
41.3627,188.2
41.3315,188.4
41.3004,188.6
41.2692,188.8
41.2381,189
41.2069,189.2
41.1757,189.4
41.1446,189.6
41.1134,189.8
41.0822,190
41.051,190.2
41.0198,190.4
40.9886,190.6
40.9574,190.8
40.9262,191
40.8949,191.2
40.8637,191.4
40.8325,191.6
40.8013,191.8
40.77,192
40.7388,192.2
40.7075,192.4
40.6763,192.6
40.645,192.8
40.6138,193
40.5825,193.2
40.5512,193.4
40.5199,193.6
40.4887,193.8
40.4574,194
40.4261,194.2
40.3948,194.4
40.3635,194.6
40.3322,194.8
40.3009,195
40.2695,195.2
40.2382,195.4
40.2069,195.6
40.1756,195.8
40.1442,196
40.1129,196.2
40.0815,196.4
40.0502,196.6
40.0188,196.8
39.9875,197
39.9561,197.2
39.9248,197.4
39.8934,197.6
39.862,197.8
39.8306,198
39.7992,198.2
39.7678,198.4
39.7365,198.6
39.7051,198.8
39.6737,199
39.6422,199.2
39.6108,199.4
